word,frequency
records,46174
grec,46172
parce,46117
traitement,46061
personnel,46032
appartenant,46024
ouvrages,46012
l'émission,46006
douze,45978
philosophie,45874
p,45852
basé,45820
sorte,45810
décret,45745
l'entreprise,45691
portant,45654
civile,45635
maladie,45620
uniquement,45602
bernard,45556
lumière,45542
ouvrage,45519
élevé,45483
cheval,45326
monument,45306
docteur,45199
méthode,45181
féminin,45178
entreprise,45017
acteur,45014
désigne,44946
nos,44934
actuel,44872
contrairement,44856
espagnol,44799
devenue,44793
l'été,44786
objets,44758
d'avoir,44745
manque,44742
collaboration,44741
importants,44733
systèmes,44718
soient,44631
hors,44600
autant,44563
réalisateur,44447
chute,44446
tombe,44442
évêque,44442
armées,44361
lesquels,44343
italienne,44339
d'été,44305
médecine,44281
tente,44233
organisé,44226
fondateur,44222
artistique,44216
périhélie,44169
types,44121
powiat,44116
pilote,44072
basse,44025
qu'on,43955
seuls,43928
naturel,43928
former,43901
propriétaire,43891
nécessaire,43811
morts,43804
afrique,43703
résultat,43679
diffusée,43575
municipal,43572
propres,43514
événements,43494
publiée,43447
journée,43433
officiel,43408
lendemain,43372
auparavant,43349
bruxelles,43345
candidat,43254
peine,43242
poids,43225
gros,43210
formule,43203
animaux,43201
pouvant,43181
vente,43138
publication,43054
initialement,42986
dispute,42972
moscou,42919
rang,42884
issu,42873
romain,42798
l'arrondissement,42776
étudiants,42740
décédé,42734
libération,42720
voire,42658
telle,42657
disque,42618
plein,42613
local,42596
reprise,42534
inclinaison,42494
dû,42490
dite,42480
notre,42471
dirige,42464
circuit,42459
gaz,42407
thème,42391
anciennes,42309
participer,42285
parcours,42282
voiture,42254
moyens,42231
actuelle,42175
connaissance,42154
endémique,42140
noire,42130
naturelle,42074
diamètre,42033
passant,42021
glace,42018
étudie,41987
masse,41949
composition,41909
mêmes,41899
diocèse,41878
score,41874
relativement,41873
pouvait,41871
d’autres,41842
ici,41808
occupe,41802
enfant,41709
poursuit,41686
l'allemagne,41678
mari,41614
l'écliptique,41602
maurice,41591
conception,41587
publics,41571
excentricité,41558
g,41521
compositeur,41519
parle,41499
air,41467
appartient,41447
l'œuvre,41415
blanche,41403
pression,41390
chevalier,41379
tennis,41308
portes,41270
n’est,41249
rapide,41245
complexe,41221
chanteur,41217
city,41215
mandat,41189
homonymie,41171
diffusion,41150
élèves,41116
attaque,41084
régional,41083
henry,41065
voies,41061
romaine,41050
daniel,40931
visite,40915
socialiste,40914
domaines,40911
travailler,40875
articles,40853
albums,40835
mains,40762
fonde,40735
température,40675
banque,40663
fusion,40626
communication,40594
épisode,40527
unités,40502
étape,40495
législatives,40472
laisse,40458
peter,40441
world,40411
angeles,40366
promotion,40344
présenté,40257
députés,40235
écrite,40229
l'industrie,40216
vainqueur,40180
modèles,40137
jardin,40088
importantes,40053
changement,40017
risque,39985
f,39927
chasse,39859
découvre,39835
accord,39816
dirigé,39764
footballeur,39735
conférence,39677
ciel,39672
fête,39651
scientifiques,39588
marseille,39564
correspond,39541
restauration,39537
somme,39535
territoires,39534
final,39516
vieux,39505
bretagne,39487
l'espace,39485
maria,39429
communiste,39381
réforme,39354
rencontres,39271
vote,39247
places,39237
lorsqu'il,39227
l'idée,39194
totale,39191
d'altitude,39181
l'issue,39164
gagne,39066
tribunal,39053
printemps,39047
religion,39035
mesures,39029
l'utilisation,38965
albert,38958
mur,38944
proches,38908
opérations,38890
page,38879
jusqu’à,38819
titulaire,38805
écrivain,38774
lois,38734
carte,38721
raisons,38679
alexandre,38662
l'édition,38655
mouvements,38630
utilisant,38626
serbe,38613
monastère,38609
atteindre,38571
soleil,38556
concert,38522
officielle,38489
publiés,38484
tôt,38467
appel,38410
biens,38357
concerne,38351
concept,38347
perdu,38344
vingt,38343
j,38340
suède,38325
ferme,38288
porté,38283
spécialiste,38205
réalisation,38195
champions,38190
mots,38186
ouverte,38175
r,38153
populations,38123
amérique,38056
l'europe,38046
explique,38028
développe,38004
s'en,37997
respectivement,37959
massif,37958
poète,37933
chemins,37901
riche,37891
littéraire,37876
réalisée,37863
l’état,37805
professionnelle,37764
vivant,37760
compose,37696
choisi,37695
obtenir,37686
gens,37629
ordres,37592
médecin,37555
ceux-ci,37519
olympique,37497
réaliser,37491
plans,37410
réussit,37403
l,37401
sauf,37387
façade,37361
commande,37328
juge,37280
sociétés,37259
marche,37233
estimé,37218
producteur,37166
n,37148
ceci,37092
indique,37082
combats,37079
procès,36993
l'air,36986
européens,36936
hommage,36914
actions,36910
baie,36901
bras,36832
flotte,36815
contact,36791
piste,36759
don,36752
considérée,36751
envoyé,36669
distribution,36604
héros,36592
d'honneur,36587
vous,36559
croissance,36544
étude,36536
internet,36524
plateau,36501
d'autre,36474
certaine,36466
rené,36429
représentants,36401
contexte,36343
convention,36340
télévisée,36337
élus,36309
réunion,36290
majeure,36279
l'administration,36275
vite,36257
urbaine,36255
l'entrée,36252
missions,36215
washington,36212
chœur,36194
consiste,36185
considère,36178
informations,36166
mexique,36162
retourne,36156
science,36155
union,36125
effets,36068
or,36053
n'était,36053
toulouse,36020
faits,36016
lancé,35988
accueille,35983
propos,35957
économiques,35937
s'étend,35927
murs,35926
matériel,35898
traverse,35858
bout,35803
rares,35781
anglaise,35749
chevaux,35730
organisation,35684
ressources,35665
tué,35657
développer,35657
besoin,35654
demeure,35619
chicago,35577
produire,35538
salon,35525
représentation,35512
volonté,35479
romans,35464
décès,35398
for,35378
fil,35298
actif,35223
d'entre,35199
revanche,35196
volume,35108
l’église,35091
intègre,35082
yeux,35044
progressivement,34990
to,34862
refuse,34834
appelés,34823
climat,34782
trains,34689
xv,34658
questions,34641
l’université,34611
bordeaux,34602
forment,34593
locales,34553
arabe,34540
profit,34536
bat,34482
naît,34473
victimes,34466
dire,34382
domicile,34349
musicale,34337
électrique,34336
simplement,34310
mention,34310
antoine,34297
quitter,34295
action,34294
cycle,34292
reconnaissance,34287
différence,34275
entraîneur,34244
annoncé,34244
aura,34165
métro,34162
culte,34158
officier,34155
chacune,34131
présidence,34131
documents,34125
règles,34120
scènes,34116
siècles,34103
signé,34090
présents,34047
vivre,34036
piano,33952
absolue,33944
faite,33927
branche,33918
l'épreuve,33897
portugal,33871
bleu,33865
–,33862
organisée,33858
josé,33851
roger,33837
originale,33828
d'infanterie,33791
effectue,33783
feuilles,33760
versions,33722
chanteuse,33706
concerts,33673
conserve,33649
l'honneur,33647
l'hôtel,33621
associé,33586
véhicules,33571
danse,33545
ben,33543
mène,33526
immédiatement,33510
possibilité,33492
christian,33464
connaître,33443
t,33433
basée,33432
régionale,33423
commercial,33421
secondes,33416
reconnu,33381
nomme,33378
unité,33370
ouvre,33339
belle,33330
l'observatoire,33317
placé,33312
elle-même,33297
d'où,33276
regroupe,33274
vaste,33268
prennent,33226
faculté,33179
loire,33176
sociales,33170
chant,33132
marqué,33075
parler,33070
discours,33067
universitaire,33057
consacré,33007
médias,32976
me,32971
l'action,32968
établi,32932
santa,32896
morte,32885
galerie,32842
définitivement,32833
génération,32825
diplôme,32817
grèce,32802
actrice,32802
traduit,32778
espagnole,32732
présentant,32702
fabrication,32671
majeur,32670
culturel,32658
soir,32640
aller,32630
d'espagne,32620
repris,32594
cabinet,32582
valeurs,32571
canadien,32568
cercle,32560
dynastie,32544
occidentale,32511
résidence,32495
apprend,32487
conçu,32487
sports,32487
genève,32454
féminine,32440
forêts,32426
d'afrique,32408
programmes,32408
espace,32407
l’école,32400
organise,32342
sixième,32327
d',32323
chef-lieu,32316
spectacle,32284
corée,32279
disponible,32278
change,32248
routes,32228
jaune,32189
automobile,32157
connus,32150
datant,32058
au-delà,32049
sièges,32028
aide,32027
cent,32006
trente,32005
partage,32005
sainte,31977
